frame_count,mean_iou,median_iou,success_auc,mean_normalized_center_error,median_normalized_center_error,update_success_rate,longest_low_iou_streak_frames,first_failure_frame,time_to_first_failure_sec,success_rate_iou_025,success_rate_iou_050,success_rate_iou_075,video_stem,tracker_name,variant_name,ratio,target_bitrate_bps,actual_bitrate_bps
580,0.13769691308939572,0.0,0.1379310344827586,0.8621410464188272,1.0,0.13793103448275862,475,74,2.469133333333333,0.13793103448275862,0.13793103448275862,0.13793103448275862,walk_into_sun,kcf,r0p15,0.15,3216397,3212916
580,0.13754403790611938,0.0,0.1379310344827586,0.8621811972961043,1.0,0.13793103448275862,475,74,2.469133333333333,0.13793103448275862,0.13793103448275862,0.13793103448275862,walk_into_sun,kcf,r0p08,0.08,1715412,1730585
580,0.13754573455960065,0.0,0.1379310344827586,0.8622099114635915,1.0,0.13793103448275862,475,74,2.469133333333333,0.13793103448275862,0.13793103448275862,0.13793103448275862,walk_into_sun,kcf,r0p04,0.04,857706,878089
580,0.137157520697535,0.0,0.1379310344827586,0.8622500482605385,1.0,0.13793103448275862,475,74,2.469133333333333,0.13793103448275862,0.13793103448275862,0.13793103448275862,walk_into_sun,kcf,r0p02,0.02,428853,445527
344,0.9742316106488127,0.9664082259303435,0.9957160342717258,0.0021778751644402753,0.0018807677770350693,1.0,0,-1,,1.0,1.0,1.0,zipline,csrt,r0p3,0.3,6094354,6494215
344,0.9627345948275418,0.9864676908275206,0.9811811505507956,0.0031942898533441977,0.0027133695351297463,1.0,0,-1,,1.0,1.0,0.9767441860465116,zipline,csrt,r0p15,0.15,3047177,3375280
344,0.9689284320023609,0.9626968775904946,0.9946450428396572,0.0035323222800380154,0.003385697137055578,1.0,0,-1,,1.0,1.0,1.0,zipline,csrt,r0p08,0.08,1625161,1839935
344,0.9185266237923322,0.9518962182561731,0.944920440636475,0.008373038702241396,0.00758595905957613,1.0,0,-1,,1.0,1.0,1.0,zipline,csrt,r0p04,0.04,812580,880171
344,0.7704267459495666,0.8532758349617052,0.7839657282741737,0.09432162897298249,0.03242620373871129,1.0,18,326,10.877533333333334,0.9302325581395349,0.8837209302325582,0.8226744186046512,zipline,csrt,r0p02,0.02,406290,606198
344,0.9953870595536141,0.9924098671726755,1.0,0.0015389103038758673,0.0027665031304361406,1.0,0,-1,,1.0,1.0,1.0,zipline,kcf,r0p3,0.3,6094354,6494215
344,0.9914888980069116,0.9924098671726755,1.0,0.0028275996442067215,0.0027665031304361406,1.0,0,-1,,1.0,1.0,1.0,zipline,kcf,r0p15,0.15,3047177,3375280
344,0.98881683370733,0.9924098671726755,1.0,0.003537981555873862,0.0027665031304361406,1.0,0,-1,,1.0,1.0,1.0,zipline,kcf,r0p08,0.08,1625161,1839935
344,0.9815545016478248,0.9840319361277445,0.9990820073439413,0.00549289877340998,0.005533006260872281,1.0,0,-1,,1.0,1.0,1.0,zipline,kcf,r0p04,0.04,812580,880171
344,0.8647758442952547,0.924488979352323,0.8814259485924113,0.045595217972746474,0.02281316924078024,1.0,0,-1,,1.0,0.9505813953488372,0.8633720930232558,zipline,kcf,r0p02,0.02,406290,606198
